State,Total Homeless,Sheltered Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Homeless People in Families,Unsheltered Homeless People in Families,Chronically Homeless,Sheltered Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Homeless Veterans,Unsheltered Homeless Veterans,Homeless Unaccompanied Youth and Children,Sheltered Homeless Unaccompanied Youth and Children,Unsheltered Homeless Unaccompanied Youth and Children,Homeless Unaccompanied Children,Sheltered Homeless Unaccompanied Children,Unsheltered Homeless Unaccompanied Children,Homeless Unaccompanied Young Adults,Sheltered Homeless Unaccompanied Young Adults,Unsheltered Homeless Unaccompanied Young Adults,Year
AK,1946,1741,205,1362,1208,154,584,533,51,184,138,46,166,124,42,18,14,4,210,188,22,168,151,17,18,14,4,150,137,13,2013
AL,4689,3246,1443,3387,2212,1175,1302,1034,268,858,295,563,768,249,519,90,46,44,511,363,148,394,243,151,26,14,12,368,229,139,2013
AR,3812,1664,2148,3174,1177,1997,638,487,151,602,171,431,565,142,423,37,29,8,462,326,136,290,147,143,52,52,0,238,95,143,2013
AZ,10562,7431,3131,6510,3662,2848,4052,3769,283,1188,520,668,1064,450,614,124,70,54,1222,901,321,675,421,254,35,27,8,640,394,246,2013
CA,118552,45554,72998,93458,26426,67032,25094,19128,5966,33112,5251,27861,29248,4177,25071,3864,1074,2790,12895,4886,8009,14161,3216,10945,1864,296,1568,12297,2920,9377,2013
CO,9754,7591,2163,4664,3075,1589,5090,4516,574,1780,846,934,1354,665,689,426,181,245,685,452,233,508,346,162,30,24,6,478,322,156,2013
CT,4448,3529,919,3101,2275,826,1347,1254,93,1046,678,368,872,542,330,174,136,38,341,267,74,235,182,53,10,10,0,225,172,53,2013
DC,6865,6353,512,3696,3184,512,3169,3169,0,2027,1566,461,1764,1303,461,263,263,0,499,435,64,164,146,18,6,6,0,158,140,18,2013
DE,946,936,10,575,565,10,371,371,0,71,68,3,65,62,3,6,6,0,89,86,3,35,35,0,1,1,0,34,34,0,2013
FL,47862,19670,28192,31359,12330,19029,16503,7340,9163,9647,1873,7774,7778,1608,6170,1869,265,1604,5505,2328,3177,3461,1427,2034,1117,402,715,2344,1025,1319,2013
GA,16971,8510,8461,12880,5250,7630,4091,3260,831,3082,936,2146,2713,842,1871,369,94,275,1805,900,905,1113,492,621,72,12,60,1041,480,561,2013
GU,1271,128,1143,296,35,261,975,93,882,290,1,289,51,1,50,239,0,239,32,2,30,35,4,31,0,0,0,35,4,31,2013
HI,6335,3745,2590,3355,1142,2213,2980,2603,377,1180,273,907,1031,212,819,149,61,88,558,234,324,209,62,147,7,3,4,202,59,143,2013
